Date,Team,Acquired,Relinquished,Notes,Year
2021-02-10,Chiefs,Taco Charlton,,activated from IR,2020
2021-02-10,Chiefs,Willie Gay Jr.,,activated from IR,2020
2021-02-10,Colts,Le'Raven Clark,,activated from IR,2020
2021-02-10,Colts,Malik Hooker,,activated from IR,2020
2021-02-10,Colts,Marlon Mack,,activated from IR,2020
2021-02-10,Colts,Parris Campbell,,activated from IR,2020
2021-02-10,Cowboys,Antwaun Woods,,activated from IR,2020
2021-02-10,Cowboys,Azur Kamara,,activated from IR,2020
2021-02-10,Cowboys,Blake Jarwin,,activated from IR,2020
2021-02-10,Cowboys,Cameron Erving / Cam Erving,,activated from IR,2020
2021-02-10,Cowboys,Chris Jones (b. 1989-07-21),,activated from IR,2020
2021-02-10,Cowboys,Dak Prescott,,activated from IR,2020
2021-02-10,Cowboys,Deante Burton,,activated from IR,2020
2021-02-10,Cowboys,Justin March-Lillard / Justin March,,activated from IR,2020
2021-02-10,Cowboys,La'el Collins,,activated from IR,2020
2021-02-10,Cowboys,Mitch Hyatt,,activated from IR,2020
2021-02-10,Cowboys,Trysten Hill,,activated from IR,2020
2021-02-10,Cowboys,Tyron Smith,,activated from IR,2020
2021-02-10,Dolphins,Davon Godchaux,,activated from IR,2020
2021-02-10,Dolphins,Elandon Roberts,,activated from IR,2020
2021-02-10,Dolphins,Preston Williams,,activated from IR,2020
2021-02-10,Dolphins,Vince Biegel,,activated from IR,2020
2021-02-10,Eagles,Andre Dillard,,activated from IR,2020
2021-02-10,Eagles,Avonte Maddox,,activated from IR,2020
2021-02-10,Eagles,Brandon Brooks,,activated from reserve/physically unable to perform list,2020
2021-02-10,Eagles,Craig James (b. 1996-04-29),,activated from IR,2020
2021-02-10,Eagles,Cre'Von LeBlanc,,activated from IR,2020
2021-02-10,Eagles,Duke Riley,,activated from IR,2020
2021-02-10,Eagles,Hassan Ridgeway,,activated from IR,2020
2021-02-10,Eagles,Iosua Opeta / Sua Opeta,,activated from IR,2020
2021-02-10,Eagles,Jack Driscoll,,activated from IR,2020
2021-02-10,Eagles,Jason Peters,,activated from IR,2020
2021-02-10,Eagles,Josh Sweat,,activated from IR,2020
2021-02-10,Eagles,Joshua Perkins / Josh Perkins,,activated from IR,2020
2021-02-10,Eagles,Lane Johnson,,activated from IR,2020
2021-02-10,Eagles,Nathan Gerry / Nate Gerry,,activated from IR,2020
2021-02-10,Eagles,Rodney McLeod,,activated from IR,2020
2021-02-10,Eagles,Shaun Bradley,,activated from IR,2020
2021-02-10,Falcons,Damontae Kazee,,activated from IR,2020
2021-02-10,Falcons,Olamide Zaccheaus,,activated from IR,2020
2021-02-10,Giants,Cody Core,,activated from IR,2020
2021-02-10,Giants,David Sills V,,activated from IR,2020
2021-02-10,Giants,Elijhaa Penny / Eli Penny,,activated from IR,2020
2021-02-10,Giants,Lorenzo Carter,,activated from IR,2020
2021-02-10,Giants,Ryan Lewis,,activated from IR,2020
2021-02-10,Giants,Saquon Barkley,,activated from IR,2020
2021-02-10,Jaguars,Ben Ellefson,,activated from IR,2020
2021-02-10,Jaguars,Brandon Linder,,activated from IR,2020
2021-02-10,Jaguars,C.J. Henderson,,activated from IR,2020
2021-02-10,Jaguars,Chris Thompson (b. 1990-10-20),,activated from IR,2020
2021-02-10,Jaguars,Collin Johnson,,activated from IR,2020
2021-02-10,Jaguars,D.J. Hayden,,activated from IR,2020
2021-02-10,Jaguars,Daniel Thomas,,activated from IR,2020
2021-02-10,Jaguars,Davon Hamilton,,activated from IR,2020
2021-02-10,Jaguars,Dede Westbrook,,activated from IR,2020
2021-02-10,Jaguars,Dontavius Russell,,activated from IR,2020
2021-02-10,Jaguars,Josh Allen (b. 1997-07-13),,activated from IR,2020
2021-02-10,Jaguars,Josh Lambo,,activated from IR,2020
2021-02-10,Jaguars,Josh Oliver,,activated from IR,2020
2021-02-10,Jaguars,Leon Jacobs,,activated from IR,2020
2021-02-10,Jaguars,Sidney Jones IV,,activated from IR,2020
2021-02-10,Jets,Alex Lewis,,activated from reserve/non-football injury / non-football illness list,2020
2021-02-10,Jets,Ashtyn Davis,,activated from IR,2020
2021-02-10,Jets,Bennett Jackson,,activated from IR,2020
2021-02-10,Jets,Blake Cashman,,activated from IR,2020
2021-02-10,Jets,Bradley McDougald,,activated from IR,2020
2021-02-10,Jets,Brian Poole,,activated from IR,2020
2021-02-10,Jets,Harvey Langi,,activated from IR,2020
2021-02-10,Jets,Jordan Jenkins,,activated from IR,2020
2021-02-10,Jets,Josh Andrews,,activated from IR,2020
2021-02-10,Jets,Kyle Phillips,,activated from IR,2020
2021-02-10,Jets,Kyron Brown,,activated from reserve/physically unable to perform list,2020
2021-02-10,Jets,Patrick Onwuasor,,activated from IR,2020
2021-02-10,Jets,placed on IR with chestlung injury,,activated from IR,2020
2021-02-10,Jets,Quinnen Williams,,activated from IR,2020
2021-02-10,Jets,Saquan Hampton,,activated from IR,2020
2021-02-10,Lions,Da'Shawn Hand,,activated from IR,2020
2021-02-10,Lions,Desmond Trufant,,activated from IR,2020
2021-02-10,Lions,Jashon Cornell,,activated from IR,2020
2021-02-10,Lions,Jeff Okudah,,activated from IR,2020
2021-02-10,Lions,Nick Bawden,,activated from IR,2020
2021-02-10,Lions,Tony McRae,,activated from IR,2020
2021-02-10,Lions,Trey Flowers,,activated from IR,2020
2021-02-10,Packers,Billy Winn,,activated from IR,2020
2021-02-10,Packers,David Bakhtiari,,activated from IR,2020
2021-02-10,Packers,John Lovett (b. 1996-04-25),,activated from IR,2020
2021-02-10,Packers,Josiah Deguara,,activated from IR,2020
2021-02-10,Packers,Lane Taylor,,activated from IR,2020
2021-02-10,Packers,Montravius Adams,,activated from IR,2020
2021-02-10,Packers,Patrick Taylor,,activated from reserve/non-football injury list,2020
2021-02-10,Packers,Raven Greene,,activated from IR,2020
2021-02-10,Packers,Simon Stepaniak,,activated from IR,2020
2021-02-10,Packers,Tyler Ervin,,activated from IR,2020
2021-02-10,Panthers,Dennis Daley,,activated from IR,2020
2021-02-10,Panthers,Greg Little,,activated from IR,2020
2021-02-10,Panthers,Kawann Short,,activated from IR,2020
2021-02-10,Panthers,Keith Kirkwood,,activated from IR,2020
2021-02-10,Panthers,Omar Bayless,,activated from IR,2020
2021-02-10,Panthers,Reggie Bonnafon,,activated from IR,2020
2021-02-10,Panthers,Stephen Weatherly,,activated from IR,2020
2021-02-10,Panthers,Trenton Scott / Trent Scott,,activated from IR,2020
2021-02-10,Panthers,Troy Pride Jr.,,activated from IR,2020
2021-02-10,Patriots,Brandon Copeland (b. 1991-07-02),,activated from IR,2020
2021-02-10,Patriots,Brandon King (b. 1993-06-08),,activated from reserve/physically unable to perform list,2020
2021-02-10,Patriots,Damien Harris,,activated from IR,2020
2021-02-10,Patriots,Isaiah Wynn,,activated from IR,2020
2021-02-10,Patriots,Josh Uche,,activated from IR,2020
2021-02-10,Patriots,Michael Barnett,,activated from IR,2020
2021-02-10,Patriots,Quincy Adeboyejo,,activated from IR,2020
2021-02-10,Patriots,Rex Burkhead,,activated from IR,2020
2021-02-10,Patriots,Ryan Izzo,,activated from IR,2020
2021-02-10,Patriots,Stephon Gilmore,,activated from IR,2020
2021-02-10,Patriots,Tashawn Bower,,activated from IR,2020
2021-02-10,Patriots,Yodny Cajuste,,activated from IR,2020
2021-02-10,Raiders,Clelin Ferrell,,activated from IR,2020
2021-02-10,Raiders,Richie Incognito,,activated from IR,2020
2021-02-10,Raiders,Tanner Muse,,activated from IR,2020
2021-02-10,Raiders,Tyrell Williams,,activated from IR,2020
2021-02-10,Rams,Darrell Henderson,,activated from IR,2020
2021-02-10,Rams,Jonah Williams (b. 1995-08-17),,activated from IR,2020
2021-02-10,Rams,Justin Lawler,,activated from IR,2020
2021-02-10,Rams,Raymond Calais,,activated from IR,2020
2021-02-10,Rams,Taylor Rapp,,activated from IR,2020
2021-02-10,Rams,Terrell Burgess,,activated from IR,2020
2021-02-10,Rams,Travin Howard,,activated from IR,2020
2021-02-10,Ravens,Antoine Wesley,,activated from IR,2020
2021-02-10,Ravens,Ben Bredeson,,activated from IR,2020
2021-02-10,Ravens,DeAndrew White,,activated from IR,2020
2021-02-10,Ravens,Iman Lewis-Marshall / Iman Marshall,,activated from IR,2020
2021-02-10,Ravens,Jacob Breeland / Jake Breeland,,activated from reserve/non-football injury list,2020
2021-02-10,Ravens,Khalil Dorsey,,activated from IR,2020
2021-02-10,Ravens,Nick Boyle,,activated from IR,2020
2021-02-10,Ravens,Otaro Alaka,,activated from IR,2020
2021-02-10,Ravens,Ronnie Stanley,,activated from IR,2020
2021-02-10,Ravens,Tavon Young,,activated from IR,2020
2021-02-10,Ravens,Trace McSorley,,activated from IR,2020
2021-02-10,Redskins,Deshazor Everett,,activated from IR,2020
2021-02-10,Saints,Bennie Fowler,,activated from IR,2020
2021-02-10,Saints,Blake Gillikin,,activated from IR,2020
2021-02-10,Saints,Jalen Dalton,,activated from IR,2020
2021-02-10,Saints,Johnson Bademosi,,activated from IR,2020
2021-02-10,Saints,Kwon Alexander,,activated from IR,2020
2021-02-10,Saints,Nick Easton,,activated from IR,2020
2021-02-10,Seahawks,Branden Jackson,,activated from IR,2020
2021-02-10,Seahawks,Bruce Irvin,,activated from IR,2020
2021-02-10,Seahawks,Darrell Taylor,,activated from reserve/non-football injury list,2020
2021-02-10,Seahawks,Delano Hill,,activated from IR,2020
2021-02-10,Seahawks,Jamarco Jones,,activated from IR,2020
2021-02-10,Seahawks,Jayson Stanley,,activated from IR,2020
2021-02-10,Seahawks,Marquise Blair,,activated from IR,2020
2021-02-10,Seahawks,Neiko Thorpe,,activated from IR,2020
2021-02-10,Seahawks,Patrick Carr,,activated from IR,2020
2021-02-10,Seahawks,Phil Haynes,,activated from IR,2020
2021-02-10,Seahawks,Phillip Dorsett II,,activated from IR,2020
2021-02-10,Seahawks,Quinton Dunbar,,activated from IR,2020
2021-02-10,Seahawks,Travis Homer,,activated from IR,2020
2021-02-10,Steelers,Bud Dupree,,activated from IR,2020
2021-02-10,Steelers,Devin Bush (b),,activated from IR,2020
2021-02-10,Steelers,Ulysees Gilbert III,,activated from IR,2020
2021-02-10,Steelers,Zach Banner,,activated from IR,2020
2021-02-10,Steelers,Zach Gentry,,activated from IR,2020
2021-02-10,Texans,,,activated from IR,2020
2021-02-10,Texans,Benardrick McKinney,,activated from IR,2020
2021-02-10,Texans,Brandon Dunn,,activated from IR,2020
2021-02-10,Texans,Brent Qvale,,activated from IR,2020
2021-02-10,Texans,Cullen Gillaspia,,activated from IR,2020
2021-02-10,Texans,Duke Ejiofor,,activated from IR,2020
2021-02-10,Texans,Dylan Cole,,activated from IR,2020
2021-02-10,Texans,Justin Reid,,activated from IR,2020
2021-02-10,Texans,Michael Thomas (b. 1990-03-17),,activated from IR,2020
2021-02-10,Texans,P.J. Hall,,activated from IR,2020
2021-02-10,Texans,Randall Cobb,,activated from IR,2020
2021-02-10,Texans,Tytus Howard,,activated from IR,2020
2021-02-10,Titans,Adam Humphries,,activated from IR,2020
2021-02-10,Titans,Breon Borders,,activated from IR,2020
2021-02-10,Titans,Chris Milton,,activated from IR,2020
2021-02-10,Titans,Dane Cruikshank,,activated from IR,2020
2021-02-10,Titans,Jadeveon Clowney,,activated from IR,2020
2021-02-10,Titans,Jayon Brown,,activated from IR,2020
2021-02-10,Titans,Taylor Lewan,,activated from IR,2020
2021-02-10,Titans,Ty Sambrailo,,activated from IR,2020
2021-02-10,Vikings,Anthony Barr,,activated from IR,2020
2021-02-10,Vikings,Cameron Smith / Cam Smith,,activated from reserve/non-football injury list,2020
2021-02-10,Vikings,Danielle Hunter,,activated from IR,2020
2021-02-10,Vikings,George Iloka,,activated from IR,2020
2021-02-10,Vikings,Kenny Willekes,,activated from IR,2020
2021-02-10,Vikings,Kris Boyd,,activated from IR,2020
2021-02-10,Vikings,Kyle Rudolph,,activated from IR,2020
2021-02-10,Vikings,Mike Hughes (b. 1997-02-11),,activated from IR,2020
2021-02-10,Vikings,Myles Dorn,,activated from IR,2020
2021-02-10,Washington,(Orlando) Ryan Anderson,,activated from IR,2020
2021-02-10,Washington,Emanuel Hall,,activated from reserve/non-football injury list,2020
2021-02-10,Washington,Geron Christian,,activated from IR,2020
2021-02-10,Washington,Greg Stroman,,activated from IR,2020
2021-02-10,Washington,Kelvin Harmon,,activated from reserve/non-football injury list,2020
2021-02-10,Washington,Kyle Allen,,activated from IR,2020
2021-02-10,Washington,Landon Collins,,activated from IR,2020
2021-02-10,Washington,Matt Ioannidis,,activated from IR,2020
2021-02-10,Washington,Reuben Foster,,activated from IR,2020
2021-02-10,Washington,Saahdiq Charles,,activated from IR,2020
2021-02-10,Washington,Temarrick Hemingway,,activated from IR,2020
2021-02-10,Washington,Thaddeus Moss,,activated from IR,2020
2000-06-23,Bears,, Cedric Donaldson,placed on IR,2000
2000-07-06,Seahawks,, Dwan Epps,placed on IR,2000
2000-07-12,Browns,, Jeff Klopf,placed on physically unable to perform list,2000
2000-07-12,Browns,, Noel LaMontagne,placed on physically unable to perform list,2000
2000-07-12,Browns,, Orlando Brown Sr.,placed on active/physically unable to perform list,2000
2000-07-16,Lions,, Charlie Batch,placed on physically unable to perform list,2000
2000-07-16,Lions,, David Sloan,placed on physically unable to perform list,2000
2000-07-18,Jets,, Greg Lotysz / Greg Lotsyz,placed on IR,2000
2000-07-20,Patriots,, John Eskridge,placed on IR,2000
2000-07-21,Bills,, Courtney Jackson,placed on IR,2000
2000-07-21,Dolphins,, O.J. McDuffie,placed on active/physically unable to perform list,2000
2000-07-23,Vikings,, David Palmer,placed on physically unable to perform list,2000
2000-07-24,Ravens,, Peter Boulware,placed on physically unable to perform list,2000
2000-07-25,Browns,, Nick Sudano,placed on IR,2000
2000-07-25,Falcons,, Alex Bernstein,placed on IR,2000
2000-07-27,Bears,, John Williams (L.)?,placed on IR,2000
2000-07-27,Chargers,, Wayne Hampton,placed on IR,2000
2000-07-27,Giants,, Dawud Rasheed,placed on IR,2000
2000-07-27,Seahawks,, DeShone Myles,placed on IR,2000
2000-07-27,Vikings, David Palmer,,activated from physically unable to perform list,2000
2000-08-01,Bears,, Chad Mackey,placed on IR,2000
2000-08-02,Bengals,, Darnay Scott,placed on IR with fractured left leg,2000
2000-08-02,Colts,, Rob Renes,placed on IR,2000
2000-08-02,Cowboys,, Mike Lucky,placed on IR,2000
2000-08-02,Cowboys,, Sean Key,placed on IR,2000
2000-08-03,Steelers,, Destry Wright,placed on IR,2000
2000-08-04,Chiefs,, Brad Kubik,placed on IR,2000
2000-08-04,Chiefs,, Thomas Washington,placed on IR,2000
2000-08-04,Dolphins,, Jeff Harris,placed on IR,2000
2000-08-07,Cardinals,, Randall Lane,placed on IR,2000
2000-08-07,Jets,, Eric Ogbogu,placed on IR,2000
2000-08-08,Broncos,, Chris Doering,placed on IR,2000
2000-08-08,Ravens,, Tyrell Peters,placed on IR,2000
2000-08-08,Redskins,, Tyrus McCloud,placed on IR,2000
2000-08-10,Lions,, Leroy Hodge,placed on IR,2000
2000-08-14,Panthers,, John Kasay,placed on IR with fractured left kneecap,2000
2000-08-15,Eagles,, Giradie Mercer,placed on IR with torn right triceps tendon,2000
2000-08-15,Seahawks,, Rufus French,placed on IR,2000
2000-08-16,Browns,, Jeremy McKinney,placed on IR,2000
2000-08-16,Raiders,, Larry Shannon,placed on IR,2000
2000-08-16,Rams,, Kaulana Noa,placed on IR,2000
2000-08-17,Buccaneers,, Chris Daniels,placed on IR,2000
2000-08-17,Colts,, Rodregis Brooks,placed on IR,2000
2000-08-17,Jaguars,, Carnell Lake,placed on IR,2000
2000-08-18,Jaguars,, Joey Chustz,placed on IR,2000
2000-08-18,Packers,, Anthony Lucas,placed on reserve/physically unable to perform list,2000
2000-08-18,Packers,, Rondell Mealey,placed on IR,2000
2000-08-19,Falcons,, Ryan Johanningmeier,placed on IR,2000
2000-08-19,Ravens,, Pedro Edison,placed on IR,2000
2000-08-19,Vikings,, Mike Malano,placed on IR with fractured fibula in right leg,2000
2000-08-20,Giants,, Dhani Jones,placed on IR with torn ACL in left knee,2000
2000-08-20,Panthers,, Deon Grant,placed on IR,2000
2000-08-20,Panthers,, Jim Turner (e),placed on IR,2000
2000-08-20,Panthers,, Robert Daniel,placed on IR,2000
2000-08-20,Seahawks,, Fred Vinson,placed on reserve/physically unable to perform list,2000
2000-08-20,Seahawks,, Robbie Tobeck,placed on reserve/physically unable to perform list,2000
2000-08-20,Seahawks,, Rufus French,placed on IR,2000
2000-08-21,49ers,, Paul Smith (b),placed on reserve/physically unable to perform list,2000
2000-08-21,Chiefs,, Joe Perez,placed on IR,2000
2000-08-21,Lions,, Mike Tomczak,placed on IR,2000
2000-08-21,Panthers,, Robert Daniel,placed on reserve/physically unable to perform list,2000
2000-08-21,Panthers,, Tony Booth,placed on IR,2000
2000-08-21,Ravens,, Pedro Edison,placed on IR,2000
2000-08-21,Redskins,, Derek Smith (G.),placed on IR,2000
2000-08-21,Redskins,, Gerard Arnold,placed on IR,2000
2000-08-21,Steelers,, Will Blackwell (b. 1975-07-09),placed on reserve/physically unable to perform list,2000
2000-08-21,Titans,, Larry Brown,placed on reserve/physically unable to perform list,2000
2000-08-21,Vikings,, Keith Council,placed on IR,2000
2000-08-22,49ers,, Chris Dalman,placed on IR,2000
2000-08-22,49ers,, Garrison Hearst,placed on reserve/physically unable to perform list,2000
2000-08-22,49ers,, London Dunlap,placed on IR,2000
2000-08-22,Bears,, Cedric Donaldson,placed on IR,2000
2000-08-22,Bears,, Chad Mackey,placed on IR,2000
2000-08-22,Bears,, John Williams (L.)?,placed on IR,2000
2000-08-22,Bengals,, Charles Fisher,placed on reserve/physically unable to perform list,2000
2000-08-22,Bengals,, Darnay Scott,placed on IR,2000
2000-08-22,Bills,, Courtney Jackson,placed on IR,2000
2000-08-22,Broncos,, Chris Doering,placed on IR,2000
2000-08-22,Broncos,, Muneer Moore,placed on IR,2000
2000-08-22,Browns,, Nick Sudano,placed on IR,2000
2000-08-22,Browns,, Ty Detmer,placed on IR,2000
2000-08-22,Cardinals,, Coby Rhinehart,placed on IR,2000
2000-08-22,Cardinals,, Donald Broomfield,placed on IR,2000
2000-08-22,Cardinals,, J.J. McCleskey,placed on IR,2000
2000-08-22,Cardinals,, Randall Lane,placed on IR,2000
2000-08-22,Cardinals,, Rashod Swinger,placed on reserve/physically unable to perform list,2000
2000-08-22,Chargers,, Eric Hill (Dwayne),placed on IR,2000
2000-08-22,Chargers,, Raylee Johnson,placed on IR,2000
2000-08-22,Chargers,, Rob Moore,placed on IR,2000
2000-08-22,Chargers,, Wayne Hampton,placed on IR,2000
2000-08-22,Chiefs,, Brad Kubik,placed on IR,2000
2000-08-22,Chiefs,, Thomas Washington,placed on IR,2000
2000-08-22,Colts,, Rob Renes,placed on IR,2000
2000-08-22,Cowboys,, Brandon Tolbert,placed on IR,2000
2000-08-22,Cowboys,, Mike Lucky,placed on IR,2000
2000-08-22,Cowboys,, Sean Key,placed on IR,2000
2000-08-22,Dolphins,, Adewale Ogunleye,placed on reserve/non-football injury list,2000
2000-08-22,Dolphins,, Jeff Harris,placed on IR,2000
2000-08-22,Dolphins,, Lamar Thomas,placed on IR,2000
2000-08-22,Dolphins,, O.J. McDuffie,placed on reserve/physically unable to perform list,2000
2000-08-22,Falcons,, Alex Bernstein,placed on IR,2000
2000-08-22,Giants,, Dawud Rasheed,placed on IR,2000
